Month,Year,Country,Arrivals
Jun,2024,  North East Asia,768707.0
Jun,2024,    Mainland China,334891.0
Jun,2024,    Hong Kong,101093.0
Jun,2024,    Japan,145927.0
Jun,2024,  South Asia,279834.0
Jun,2024,  Middle East,79260.0
Jun,2024,  Oceania,307654.0
Jun,2024,  Europe,205921.0
Jun,2024,    France,24058.0
Jun,2024,    Germany,39254.0
Jun,2024,    United Kingdom,65066.0
Jun,2024,  North America,63125.0
Jun,2024,  Other Regions,9313.0
May,2024,Number Of Air Passenger Arrivals,2688803.0
May,2024,  South East Asia,1092938.0
May,2024,    Indonesia,315076.0
May,2024,    Malaysia,292170.0
May,2024,    Philippines,121360.0
May,2024,    Thailand,222001.0
May,2024,    Vietnam,96072.0
May,2024,  North East Asia,683118.0
May,2024,    Mainland China,284250.0
May,2024,    Hong Kong,83052.0
May,2024,    Japan,140060.0
May,2024,  South Asia,310967.0
May,2024,  Middle East,65409.0
May,2024,  Oceania,284377.0
May,2024,  Europe,183255.0
May,2024,    France,22187.0
May,2024,    Germany,37376.0
May,2024,    United Kingdom,54799.0
May,2024,  North America,59796.0
May,2024,  Other Regions,8943.0
Apr,2024,Number Of Air Passenger Arrivals,2732578.0
Apr,2024,  South East Asia,1101447.0
Apr,2024,    Indonesia,304889.0
Apr,2024,    Malaysia,292736.0
Apr,2024,    Philippines,116665.0
Apr,2024,    Thailand,235029.0
Apr,2024,    Vietnam,100406.0
Apr,2024,  North East Asia,742647.0
Apr,2024,    Mainland China,307829.0
Apr,2024,    Hong Kong,95685.0
Apr,2024,    Japan,149604.0
Apr,2024,  South Asia,301695.0
Apr,2024,  Middle East,64919.0
Apr,2024,  Oceania,281650.0
Apr,2024,  Europe,183036.0
Apr,2024,    France,24537.0
Apr,2024,    Germany,38283.0
Apr,2024,    United Kingdom,51949.0
Apr,2024,  North America,48064.0
Apr,2024,  Other Regions,9120.0
Mar,2024,Number Of Air Passenger Arrivals,2838535.0
Mar,2024,  South East Asia,1162692.0
Mar,2024,    Indonesia,295673.0
Mar,2024,    Malaysia,296535.0
Mar,2024,    Philippines,138363.0
Mar,2024,    Thailand,264799.0
Mar,2024,    Vietnam,113009.0
Mar,2024,  North East Asia,763730.0
Mar,2024,    Mainland China,324409.0
Mar,2024,    Hong Kong,101577.0
Mar,2024,    Japan,148746.0
Mar,2024,  South Asia,291701.0
Mar,2024,  Middle East,73978.0
Mar,2024,  Oceania,298576.0
Mar,2024,  Europe,189048.0
Mar,2024,    France,21926.0
Mar,2024,    Germany,39368.0
Mar,2024,    United Kingdom,59507.0
Mar,2024,  North America,47249.0
Mar,2024,  Other Regions,11561.0
Feb,2024,Number Of Air Passenger Arrivals,2645916.0
Feb,2024,  South East Asia,1084118.0
Feb,2024,    Indonesia,283447.0
Feb,2024,    Malaysia,294434.0
Feb,2024,    Philippines,123896.0
Feb,2024,    Thailand,238636.0
Feb,2024,    Vietnam,93909.0
Feb,2024,  North East Asia,712881.0
Feb,2024,    Mainland China,324056.0
Feb,2024,    Hong Kong,85465.0
Feb,2024,    Japan,133502.0
Feb,2024,  South Asia,276610.0
Feb,2024,  Middle East,72103.0
Feb,2024,  Oceania,263754.0
Feb,2024,  Europe,184125.0
Feb,2024,    France,22125.0
Feb,2024,    Germany,38600.0
Feb,2024,    United Kingdom,55732.0
Feb,2024,  North America,42429.0
Feb,2024,  Other Regions,9896.0
Jan,2024,Number Of Air Passenger Arrivals,2839143.0
Jan,2024,  South East Asia,1131172.0
Jan,2024,    Indonesia,307312.0
Jan,2024,    Malaysia,282679.0
Jan,2024,    Philippines,147579.0
Jan,2024,    Thailand,241208.0
Jan,2024,    Vietnam,101950.0
Jan,2024,  North East Asia,744869.0
Jan,2024,    Mainland China,301732.0
Jan,2024,    Hong Kong,97242.0
Jan,2024,    Japan,143597.0
Jan,2024,  South Asia,315133.0
Jan,2024,  Middle East,79984.0
Jan,2024,  Oceania,306838.0
Jan,2024,  Europe,201764.0
Jan,2024,    France,25321.0
Jan,2024,    Germany,39980.0
Jan,2024,    United Kingdom,60395.0
Jan,2024,  North America,47577.0
Jan,2024,  Other Regions,11806.0
Dec,2023,Number Of Air Passenger Arrivals,2911784.0
Dec,2023,  South East Asia,1162841.0
Dec,2023,    Indonesia,320717.0
Dec,2023,    Malaysia,321354.0
Dec,2023,    Philippines,118907.0
Dec,2023,    Thailand,234375.0
Dec,2023,    Vietnam,112292.0
Dec,2023,  North East Asia,747856.0
Dec,2023,    Mainland China,265540.0
Dec,2023,    Hong Kong,110292.0
Dec,2023,    Japan,158070.0
Dec,2023,  South Asia,293184.0
Dec,2023,  Middle East,92048.0
Dec,2023,  Oceania,347824.0
Dec,2023,  Europe,205445.0
Dec,2023,    France,25892.0
Dec,2023,    Germany,38513.0
Dec,2023,    United Kingdom,63883.0
Dec,2023,  North America,52170.0
Dec,2023,  Other Regions,10416.0
Nov,2023,Number Of Air Passenger Arrivals,2505727.0
Nov,2023,  South East Asia,1038285.0
Nov,2023,    Indonesia,286363.0
Nov,2023,    Malaysia,269785.0
Nov,2023,    Philippines,113793.0
Nov,2023,    Thailand,218773.0
Nov,2023,    Vietnam,99028.0
Nov,2023,  North East Asia,615713.0
Nov,2023,    Mainland China,190153.0
Nov,2023,    Hong Kong,85882.0
Nov,2023,    Japan,147313.0
Nov,2023,  South Asia,253469.0
Nov,2023,  Middle East,72845.0
Nov,2023,  Oceania,284896.0
Nov,2023,  Europe,184255.0
Nov,2023,    France,24260.0
Nov,2023,    Germany,36523.0
Nov,2023,    United Kingdom,54274.0
Nov,2023,  North America,48111.0
Nov,2023,  Other Regions,8153.0
Oct,2023,Number Of Air Passenger Arrivals,2550710.0
Oct,2023,  South East Asia,1064962.0
Oct,2023,    Indonesia,312292.0
Oct,2023,    Malaysia,272799.0
Oct,2023,    Philippines,109914.0
Oct,2023,    Thailand,222667.0
Oct,2023,    Vietnam,99917.0
Oct,2023,  North East Asia,605863.0
Oct,2023,    Mainland China,205807.0
Oct,2023,    Hong Kong,81671.0
Oct,2023,    Japan,131578.0
Oct,2023,  South Asia,249750.0
Oct,2023,  Middle East,86059.0
Oct,2023,  Oceania,259029.0
Oct,2023,  Europe,224682.0
Oct,2023,    France,28918.0
Oct,2023,    Germany,42852.0
Oct,2023,    United Kingdom,65715.0
Oct,2023,  North America,50985.0
Oct,2023,  Other Regions,9380.0
Sep,2023,Number Of Air Passenger Arrivals,2434215.0
Sep,2023,  South East Asia,1012695.0
Sep,2023,    Indonesia,309171.0
Sep,2023,    Malaysia,266606.0
Sep,2023,    Philippines,105834.0
Sep,2023,    Thailand,197101.0
Sep,2023,    Vietnam,93035.0
Sep,2023,  North East Asia,563604.0
Sep,2023,    Mainland China,210215.0
Sep,2023,    Hong Kong,80709.0
Sep,2023,    Japan,108057.0
Sep,2023,  South Asia,245735.0
