Month,Year,Country,Departures,Arrivals
Mar,2000,Japan,102772.0,97273.0
Mar,2000,Hong Kong,72028.0,74961.0
Mar,2000,Mainland China,37857.0,38781.0
Mar,2000,North East Asia,277632.0,266972.0
Mar,2000,Vietnam,13821.0,16636.0
Mar,2000,Thailand,109787.0,121424.0
Mar,2000,Philippines,36073.0,33325.0
Mar,2000,Malaysia,133763.0,140595.0
Feb,2000,Mainland China,41438.0,44500.0
Mar,2000,Indonesia,122938.0,124415.0
Feb,2000,Hong Kong,72653.0,69344.0
Feb,2000,South Asia,70400.0,75720.0
Jan,2000,Germany,23172.0,24251.0
Jan,2000,France,11098.0,11469.0
Jan,2000,Europe,118255.0,119735.0
Jan,2000,Oceania,139244.0,133358.0
Jan,2000,Middle East,11247.0,10883.0
Jan,2000,South Asia,74515.0,82624.0
Jan,2000,Japan,81335.0,86339.0
Jan,2000,Hong Kong,59262.0,69711.0
Jan,2000,Mainland China,32425.0,34013.0
Jan,2000,North East Asia,228580.0,245586.0
Jan,2000,Vietnam,16001.0,10885.0
Jan,2000,Thailand,93706.0,111636.0
Jan,2000,Philippines,26012.0,35228.0
Jan,2000,Malaysia,119796.0,121018.0
Jan,2000,Indonesia,138476.0,120322.0
Jan,2000,South East Asia,410632.0,413450.0
Feb,2000,North America,26683.0,23197.0
Feb,2000,United Kingdom,40712.0,48556.0
Feb,2000,Germany,21929.0,22852.0
Feb,2000,France,11200.0,11424.0
Feb,2000,Europe,110326.0,118685.0
Feb,2000,Oceania,148098.0,116833.0
Feb,2000,Middle East,10146.0,9773.0
Feb,2000,Japan,84197.0,84269.0
Mar,2000,South East Asia,431334.0,452560.0
Jul,2000,North America,32339.0,29234.0
Apr,2000,United Kingdom,53178.0,46392.0
May,2000,Vietnam,13379.0,12963.0
May,2000,Thailand,103173.0,116064.0
May,2000,Philippines,36223.0,36619.0
May,2000,Malaysia,131046.0,141765.0
May,2000,Indonesia,114887.0,113530.0
May,2000,South East Asia,415129.0,437495.0
Jun,2000,North America,33240.0,33101.0
Jun,2000,United Kingdom,49261.0,50762.0
Jun,2000,Germany,24309.0,23108.0
Apr,2000,North America,31404.0,22339.0
Jun,2000,Europe,132654.0,126471.0
Jun,2000,Oceania,126626.0,143898.0
Jun,2000,Middle East,14692.0,21284.0
Jun,2000,South Asia,79979.0,78314.0
Jun,2000,Japan,82434.0,84437.0
Jun,2000,Hong Kong,79298.0,88672.0
Jun,2000,Mainland China,44901.0,56856.0
Jun,2000,North East Asia,273292.0,299526.0
Jun,2000,Vietnam,16000.0,13775.0
Jun,2000,Thailand,109114.0,119888.0
Jun,2000,Philippines,31490.0,30892.0
Jun,2000,Malaysia,144190.0,145721.0
Jun,2000,Indonesia,127515.0,130476.0
May,2000,North East Asia,276764.0,247600.0
May,2000,Mainland China,51967.0,47049.0
Jun,2000,France,13383.0,12126.0
May,2000,Japan,77946.0,68447.0
May,2000,Hong Kong,78458.0,73059.0
Apr,2000,France,13304.0,12110.0
Apr,2000,Europe,137798.0,120093.0
Apr,2000,Oceania,138205.0,144664.0
Apr,2000,Middle East,10928.0,16467.0
Apr,2000,South Asia,74133.0,86546.0
Apr,2000,Japan,76153.0,75681.0
Apr,2000,Hong Kong,78949.0,84503.0
Apr,2000,Mainland China,51554.0,49473.0
Apr,2000,North East Asia,276603.0,271424.0
Apr,2000,Vietnam,13306.0,14842.0
Apr,2000,Thailand,110949.0,117760.0
Apr,2000,Germany,25994.0,24330.0
Apr,2000,Malaysia,130001.0,137920.0
Apr,2000,Indonesia,122270.0,117352.0
Apr,2000,South East Asia,428371.0,442421.0
May,2000,North America,33509.0,27886.0
May,2000,United Kingdom,53430.0,39014.0
May,2000,Germany,26866.0,20625.0
May,2000,France,13964.0,11045.0
May,2000,Europe,139783.0,103662.0
May,2000,Oceania,114087.0,133268.0
May,2000,Middle East,11345.0,10466.0
May,2000,South Asia,75213.0,84622.0
Apr,2000,Philippines,35706.0,36480.0
Sep,2001,Germany,29525.0,31920.0
Sep,2001,United Kingdom,54323.0,59237.0
Sep,2001,North America,22121.0,18779.0
Aug,2001,South East Asia,437811.0,461833.0
Aug,2001,Vietnam,14783.0,17955.0
Aug,2001,Malaysia,130799.0,142299.0
Aug,2001,Philippines,27432.0,28451.0
Aug,2001,Thailand,110526.0,117532.0
Sep,2001,France,13808.0,12611.0
Aug,2001,Indonesia,135290.0,134653.0
Sep,2001,Europe,141972.0,147649.0
Sep,2001,Mainland China,60941.0,56247.0
Sep,2001,Middle East,13530.0,11371.0
Sep,2001,South Asia,63414.0,67630.0
Sep,2001,Japan,84971.0,78087.0
Sep,2001,Hong Kong,63234.0,71564.0
Sep,2001,North East Asia,254832.0,252938.0
Sep,2001,Vietnam,13306.0,14102.0
Sep,2001,Thailand,93874.0,101839.0
Sep,2001,Philippines,24927.0,25937.0
Sep,2001,Malaysia,127501.0,129751.0
