Month,Year,Country,Departures,Arrivals,Total_Flow
Sep,1961,Number Of Air Passenger Arrivals,0.0,12974.0,12974.0
Sep,1961,Number Of Air Passenger Departures,13202.0,0.0,13202.0
Apr,1962,    Hong Kong,1686.0,1611.0,3297.0
Apr,1962,    Indonesia,1943.0,2177.0,4120.0
Apr,1962,    Japan,285.0,306.0,591.0
Apr,1962,    Philippines,259.0,544.0,803.0
Apr,1962,    Thailand,2080.0,1457.0,3537.0
Apr,1962,    United Kingdom,627.0,359.0,986.0
Apr,1962,Number Of Air Passenger Arrivals,0.0,15300.0,15300.0
Apr,1962,Number Of Air Passenger Departures,14933.0,0.0,14933.0
Aug,1962,    Hong Kong,1596.0,1570.0,3166.0
Aug,1962,    Indonesia,2464.0,2053.0,4517.0
Aug,1962,    Japan,171.0,240.0,411.0
Aug,1962,    Philippines,345.0,297.0,642.0
Aug,1962,    Thailand,1506.0,1674.0,3180.0
Aug,1962,    United Kingdom,624.0,845.0,1469.0
Aug,1962,Number Of Air Passenger Arrivals,0.0,15403.0,15403.0
Aug,1962,Number Of Air Passenger Departures,14877.0,0.0,14877.0
Dec,1962,    Hong Kong,1670.0,1435.0,3105.0
Dec,1962,    Indonesia,1975.0,2283.0,4258.0
Dec,1962,    Japan,214.0,164.0,378.0
Dec,1962,    Philippines,232.0,224.0,456.0
Dec,1962,    Thailand,1732.0,1728.0,3460.0
Dec,1962,    United Kingdom,505.0,781.0,1286.0
Dec,1962,Number Of Air Passenger Arrivals,0.0,16798.0,16798.0
Dec,1962,Number Of Air Passenger Departures,15528.0,0.0,15528.0
Feb,1962,    Hong Kong,954.0,884.0,1838.0
Feb,1962,    Indonesia,1553.0,1638.0,3191.0
Feb,1962,    Japan,108.0,160.0,268.0
Feb,1962,    Philippines,190.0,319.0,509.0
Feb,1962,    Thailand,1422.0,1197.0,2619.0
Feb,1962,    United Kingdom,349.0,350.0,699.0
Feb,1962,Number Of Air Passenger Arrivals,0.0,12196.0,12196.0
Feb,1962,Number Of Air Passenger Departures,12432.0,0.0,12432.0
Jan,1962,    Hong Kong,934.0,1238.0,2172.0
Jan,1962,    Indonesia,1759.0,1555.0,3314.0
Jan,1962,    Japan,106.0,136.0,242.0
Jan,1962,    Philippines,211.0,209.0,420.0
Jan,1962,    Thailand,1227.0,1356.0,2583.0
Jan,1962,    United Kingdom,563.0,559.0,1122.0
Jan,1962,Number Of Air Passenger Arrivals,0.0,13149.0,13149.0
Jan,1962,Number Of Air Passenger Departures,12949.0,0.0,12949.0
Jul,1962,    Hong Kong,1202.0,1345.0,2547.0
Jul,1962,    Indonesia,2017.0,1994.0,4011.0
Jul,1962,    Japan,151.0,197.0,348.0
Jul,1962,    Philippines,278.0,550.0,828.0
Jul,1962,    Thailand,1991.0,1791.0,3782.0
Jul,1962,    United Kingdom,503.0,1480.0,1983.0
Jul,1962,Number Of Air Passenger Arrivals,0.0,14982.0,14982.0
Jul,1962,Number Of Air Passenger Departures,13904.0,0.0,13904.0
Jun,1962,    Hong Kong,1113.0,1240.0,2353.0
Jun,1962,    Indonesia,1628.0,1691.0,3319.0
Jun,1962,    Japan,147.0,178.0,325.0
Jun,1962,    Philippines,244.0,316.0,560.0
Jun,1962,    Thailand,1498.0,1222.0,2720.0
Jun,1962,    United Kingdom,550.0,433.0,983.0
Jun,1962,Number Of Air Passenger Arrivals,0.0,12694.0,12694.0
Jun,1962,Number Of Air Passenger Departures,12547.0,0.0,12547.0
Mar,1962,    Hong Kong,1461.0,1065.0,2526.0
Mar,1962,    Indonesia,1810.0,2142.0,3952.0
Mar,1962,    Japan,241.0,247.0,488.0
Mar,1962,    Philippines,321.0,359.0,680.0
Mar,1962,    Thailand,2147.0,1278.0,3425.0
Mar,1962,    United Kingdom,454.0,412.0,866.0
Mar,1962,Number Of Air Passenger Arrivals,0.0,13230.0,13230.0
Mar,1962,Number Of Air Passenger Departures,14028.0,0.0,14028.0
May,1962,    Hong Kong,1485.0,1678.0,3163.0
May,1962,    Indonesia,1575.0,1764.0,3339.0
May,1962,    Japan,205.0,188.0,393.0
May,1962,    Philippines,377.0,485.0,862.0
May,1962,    Thailand,1899.0,1777.0,3676.0
May,1962,    United Kingdom,557.0,332.0,889.0
May,1962,Number Of Air Passenger Arrivals,0.0,14352.0,14352.0
May,1962,Number Of Air Passenger Departures,13975.0,0.0,13975.0
Nov,1962,    Hong Kong,2000.0,1756.0,3756.0
Nov,1962,    Indonesia,1807.0,1694.0,3501.0
Nov,1962,    Japan,255.0,222.0,477.0
Nov,1962,    Philippines,411.0,364.0,775.0
Nov,1962,    Thailand,2062.0,2496.0,4558.0
Nov,1962,    United Kingdom,419.0,570.0,989.0
Nov,1962,Number Of Air Passenger Arrivals,0.0,16290.0,16290.0
