Month,Year,Country,Departures,Arrivals,Total Holidays,Inflation,Month_sin,Month_cos,Total_Traffic
2,2000,Indonesia,103555.0,108219.0,1.015023004629879,0.33502706431181845,0.8660254037844386,0.5000000000000001,211774.0
2,2000,South East Asia,390682.0,423172.0,1.015023004629879,0.33502706431181845,0.8660254037844386,0.5000000000000001,813854.0
2,2000,Mainland China,41438.0,44500.0,1.015023004629879,0.33502706431181845,0.8660254037844386,0.5000000000000001,85938.0
2,2000,Hong Kong,72653.0,69344.0,1.015023004629879,0.33502706431181845,0.8660254037844386,0.5000000000000001,141997.0
2,2000,South Asia,70400.0,75720.0,1.015023004629879,0.33502706431181845,0.8660254037844386,0.5000000000000001,146120.0
2,2000,North America,26683.0,23197.0,1.015023004629879,0.33502706431181845,0.8660254037844386,0.5000000000000001,49880.0
2,2000,United Kingdom,40712.0,48556.0,1.015023004629879,-0.6008461718884577,0.8660254037844386,0.5000000000000001,89268.0
2,2000,Germany,21929.0,22852.0,1.015023004629879,-0.4072172264677109,0.8660254037844386,0.5000000000000001,44781.0
2,2000,France,11200.0,11424.0,1.015023004629879,-0.2781312628538797,0.8660254037844386,0.5000000000000001,22624.0
2,2000,Europe,110326.0,118685.0,1.015023004629879,-0.2781312628538797,0.8660254037844386,0.5000000000000001,229011.0
2,2000,Oceania,148098.0,116833.0,1.015023004629879,-0.2781312628538797,0.8660254037844386,0.5000000000000001,264931.0
2,2000,Middle East,10146.0,9773.0,1.015023004629879,-0.2781312628538797,0.8660254037844386,0.5000000000000001,19919.0
2,2000,Japan,84197.0,84269.0,1.015023004629879,-1.0849185354403246,0.8660254037844386,0.5000000000000001,168466.0
3,2000,North America,33447.0,25519.0,0.00020431219899957198,-1.0849185354403246,1.0,6.123233995736766e-17,58966.0
3,2000,United Kingdom,53409.0,43837.0,0.00020431219899957198,-0.6008461718884577,1.0,6.123233995736766e-17,97246.0
3,2000,Germany,26843.0,21926.0,0.00020431219899957198,-0.4072172264677109,1.0,6.123233995736766e-17,48769.0
3,2000,France,13920.0,10737.0,0.00020431219899957198,-0.2781312628538797,1.0,6.123233995736766e-17,24657.0
3,2000,Europe,138999.0,111054.0,0.00020431219899957198,-0.2781312628538797,1.0,6.123233995736766e-17,250053.0
3,2000,Oceania,125845.0,137533.0,0.00020431219899957198,-0.2781312628538797,1.0,6.123233995736766e-17,263378.0
3,2000,Middle East,15344.0,13960.0,0.00020431219899957198,-0.2781312628538797,1.0,6.123233995736766e-17,29304.0
3,2000,South Asia,72254.0,79146.0,0.00020431219899957198,-0.2781312628538797,1.0,6.123233995736766e-17,151400.0
3,2000,Japan,102772.0,97273.0,0.00020431219899957198,-1.0849185354403246,1.0,6.123233995736766e-17,200045.0
3,2000,Hong Kong,72028.0,74961.0,0.00020431219899957198,-1.0849185354403246,1.0,6.123233995736766e-17,146989.0
3,2000,Mainland China,37857.0,38781.0,0.00020431219899957198,-1.0849185354403246,1.0,6.123233995736766e-17,76638.0
3,2000,North East Asia,277632.0,266972.0,0.00020431219899957198,-1.0849185354403246,1.0,6.123233995736766e-17,544604.0
3,2000,Vietnam,13821.0,16636.0,0.00020431219899957198,-1.4399049353783602,1.0,6.123233995736766e-17,30457.0
3,2000,Thailand,109787.0,121424.0,0.00020431219899957198,-0.3104027537573375,1.0,6.123233995736766e-17,231211.0
3,2000,Philippines,36073.0,33325.0,0.00020431219899957198,1.2386288096086366,1.0,6.123233995736766e-17,69398.0
3,2000,Malaysia,133763.0,140595.0,0.00020431219899957198,-0.34267424466079527,1.0,6.123233995736766e-17,274358.0
3,2000,Indonesia,122938.0,124415.0,0.00020431219899957198,0.33502706431181845,1.0,6.123233995736766e-17,247353.0
3,2000,South East Asia,431334.0,452560.0,0.00020431219899957198,0.33502706431181845,1.0,6.123233995736766e-17,883894.0
4,2000,United Kingdom,53178.0,46392.0,0.00020431219899957198,-0.6008461718884577,0.8660254037844387,-0.4999999999999998,99570.0
4,2000,North America,31404.0,22339.0,0.00020431219899957198,-0.6008461718884577,0.8660254037844387,-0.4999999999999998,53743.0
4,2000,France,13304.0,12110.0,0.00020431219899957198,-0.2781312628538797,0.8660254037844387,-0.4999999999999998,25414.0
4,2000,Europe,137798.0,120093.0,0.00020431219899957198,-0.2781312628538797,0.8660254037844387,-0.4999999999999998,257891.0
4,2000,Oceania,138205.0,144664.0,0.00020431219899957198,-0.2781312628538797,0.8660254037844387,-0.4999999999999998,282869.0
4,2000,Middle East,10928.0,16467.0,0.00020431219899957198,-0.2781312628538797,0.8660254037844387,-0.4999999999999998,27395.0
4,2000,South Asia,74133.0,86546.0,0.00020431219899957198,-0.2781312628538797,0.8660254037844387,-0.4999999999999998,160679.0
4,2000,Japan,76153.0,75681.0,0.00020431219899957198,-1.0849185354403246,0.8660254037844387,-0.4999999999999998,151834.0
4,2000,Hong Kong,78949.0,84503.0,0.00020431219899957198,-1.0849185354403246,0.8660254037844387,-0.4999999999999998,163452.0
4,2000,Mainland China,51554.0,49473.0,0.00020431219899957198,-1.0849185354403246,0.8660254037844387,-0.4999999999999998,101027.0
4,2000,North East Asia,276603.0,271424.0,0.00020431219899957198,-1.0849185354403246,0.8660254037844387,-0.4999999999999998,548027.0
4,2000,Vietnam,13306.0,14842.0,0.00020431219899957198,-1.4399049353783602,0.8660254037844387,-0.4999999999999998,28148.0
4,2000,Thailand,110949.0,117760.0,0.00020431219899957198,-0.3104027537573375,0.8660254037844387,-0.4999999999999998,228709.0
